N,E,FN
3,1,4.5
4,2,4
5,2,6.25
6,7,2.571
7,3,8.167
8,8,4
9,12,3.375
10,13,3.846
11,5,12.1
12,10,7.2
13,6,14.083
14,19,5.158
15,15,7.5
16,24,5.333
17,32,4.516
18,25,6.48
19,29,6.224
20,26,7.692
21,26,8.481
22,39,6.205
23,47,5.628
24,36,8
25,36,8.681
26,45,7.511
27,37,9.851
28,50,7.84
29,62,6.782
30,59,7.627
31,67,7.172
32,64,8
33,64,8.508
34,65,8.892
35,73,8.39
36,82,7.902
37,86,7.959
38,87,8.299
39,99,7.682
40,108,7.407
41,108,7.782
42,101,8.733
43,109,8.482
44,122,7.934
45,118,8.581
46,131,8.076
47,135,8.181
48,140,8.229
49,136,8.827
50,153,8.17
51,153,8.5
52,166,8.145
53,170,8.262
54,175,8.331
55,171,8.845
56,192,8.167
57,188,8.641
58,197,8.538
59,205,8.49
60,218,8.257
61,226,8.232
62,235,8.179
63,207,9.587
64,208,9.846
65,240,8.802
66,257,8.475
