N,K,p,num_parallel_runs,max_iterations_optimizer,num_shots_simulator,q,lambda_sum,transpilation_level,overall_runtime_seconds,best_overall_energy,approximation_ratio,E_min_classical,E_max_classical,num_successful_individual_runs,total_individual_runs_attempted,all_individual_energies
5,2,1,1,50,256,0.5,0,0,2.159243582995259,-0.15258272458795163,,,,1,1,[-0.15258272458795163]
5,2,1,1,50,256,0.5,0,1,2.047975541994674,-0.16209859822761855,,,,1,1,[-0.16209859822761855]
5,2,1,1,50,256,0.5,0,2,2.282371957990108,-0.15693218004956536,,,,1,1,[-0.15693218004956536]
5,2,1,1,50,256,0.5,0,3,2.079520708997734,-0.16580034791271803,,,,1,1,[-0.16580034791271803]
8,3,1,1,50,256,0.5,0,0,2.17216579199885,-0.15473868449001868,,,,1,1,[-0.15473868449001868]
8,3,1,1,50,256,0.5,0,1,1.9866642080014572,-0.1596388133513647,,,,1,1,[-0.1596388133513647]
8,3,1,1,50,256,0.5,0,2,2.110287707997486,-0.15508106634705118,,,,1,1,[-0.15508106634705118]
8,3,1,1,50,256,0.5,0,3,2.1708589579939144,-0.1521838580134133,,,,1,1,[-0.1521838580134133]
10,4,1,1,50,256,0.5,0,0,2.189038917000289,-0.15421608477922538,,,,1,1,[-0.15421608477922538]
10,4,1,1,50,256,0.5,0,1,2.164621124989935,-0.16350065050226179,,,,1,1,[-0.16350065050226179]
10,4,1,1,50,256,0.5,0,2,2.2534750000049826,-0.1546924687589169,,,,1,1,[-0.1546924687589169]
10,4,1,1,50,256,0.5,0,3,2.3430294579884503,-0.15646395138426647,,,,1,1,[-0.15646395138426647]
15,6,1,1,50,256,0.5,0,0,2.4753252920054365,-0.1519028698073941,,,,1,1,[-0.1519028698073941]
15,6,1,1,50,256,0.5,0,1,2.6649660000111908,-0.14896210908818683,,,,1,1,[-0.14896210908818683]
15,6,1,1,50,256,0.5,0,2,2.6350002919934923,-0.15227250556363772,,,,1,1,[-0.15227250556363772]
15,6,1,1,50,256,0.5,0,3,2.7732628750090953,-0.147557362829431,,,,1,1,[-0.147557362829431]
20,8,1,1,50,256,0.5,0,0,12.527016749998438,-0.14297235876693817,,,,1,1,[-0.14297235876693817]
20,8,1,1,50,256,0.5,0,1,11.733261833011056,-0.14121128691940504,,,,1,1,[-0.14121128691940504]
20,8,1,1,50,256,0.5,0,2,12.466417250005179,-0.13951877460126785,,,,1,1,[-0.13951877460126785]
20,8,1,1,50,256,0.5,0,3,11.695053709001513,-0.14341236013191738,,,,1,1,[-0.14341236013191738]
22,8,1,1,50,256,0.5,0,0,41.94044216600014,-0.14711745038360627,,,,1,1,[-0.14711745038360627]
22,8,1,1,50,256,0.5,0,1,39.59090108300734,-0.15262362102484192,,,,1,1,[-0.15262362102484192]
22,8,1,1,50,256,0.5,0,2,34.08337170899904,-0.1528461066254433,,,,1,1,[-0.1528461066254433]
22,8,1,1,50,256,0.5,0,3,35.289833625007304,-0.1539168379918668,,,,1,1,[-0.1539168379918668]
5,2,1,3,50,256,0.5,0,0,2.7759931670007063,-0.1659904450872429,,,,3,3,"[-0.16122191623933751, -0.1659904450872429, -0.16167428563272904]"
5,2,1,3,50,256,0.5,0,1,2.4576847909920616,-0.1682306055871751,,,,3,3,"[-0.16199610337475606, -0.16046422998225915, -0.1682306055871751]"
5,2,1,3,50,256,0.5,0,2,2.549339958000928,-0.17230494847218478,,,,3,3,"[-0.1616883506183856, -0.164764733061372, -0.17230494847218478]"
5,2,1,3,50,256,0.5,0,3,2.4688869999954477,-0.17036702459287797,,,,3,3,"[-0.1648131771887427, -0.16545576667177594, -0.17036702459287797]"
8,3,1,3,50,256,0.5,0,0,2.537385292002,-0.16141052715238527,,,,3,3,"[-0.15479471720103968, -0.1547681227158666, -0.16141052715238527]"
8,3,1,3,50,256,0.5,0,1,2.5600792079931125,-0.16505129760543533,,,,3,3,"[-0.15135073940981147, -0.16505129760543533, -0.1520012378197099]"
8,3,1,3,50,256,0.5,0,2,2.6029578750021756,-0.1583380163566362,,,,3,3,"[-0.15340615103829527, -0.1583380163566362, -0.1542165211956856]"
8,3,1,3,50,256,0.5,0,3,2.4554444999957923,-0.15837568383967238,,,,3,3,"[-0.1562327020109701, -0.15472846554704092, -0.15837568383967238]"
10,4,1,3,50,256,0.5,0,0,2.565063541987911,-0.16093478629504787,,,,3,3,"[-0.1488231057883429, -0.1501072826773197, -0.16093478629504787]"
10,4,1,3,50,256,0.5,0,1,2.611928166996222,-0.15881634740046022,,,,3,3,"[-0.14933543181401865, -0.14650244290852096, -0.15881634740046022]"
10,4,1,3,50,256,0.5,0,2,2.474498208001023,-0.15756408771156322,,,,3,3,"[-0.14990127482460863, -0.15372141511367893, -0.15756408771156322]"
10,4,1,3,50,256,0.5,0,3,2.5749725000059698,-0.15299141753873347,,,,3,3,"[-0.15299141753873347, -0.1457956298531314, -0.15067073879935586]"
15,6,1,3,50,256,0.5,0,0,3.4939921659970423,-0.1502544644485318,,,,3,3,"[-0.14348853337621414, -0.14398921459240108, -0.1502544644485318]"
15,6,1,3,50,256,0.5,0,1,3.298626999996486,-0.1509264662894514,,,,3,3,"[-0.1494658994712291, -0.15083219668324963, -0.1509264662894514]"
