N,K,p,num_parallel_runs,max_iterations_optimizer,num_shots_simulator,q,lambda_sum,transpilation_level,overall_runtime_seconds,best_overall_energy,approximation_ratio,E_min_classical,E_max_classical,num_successful_individual_runs,total_individual_runs_attempted,all_individual_energies,mean_nfev_per_run,mean_avg_circuit_build_time_per_call,mean_avg_transpile_time_per_call,mean_avg_execute_time_per_call,mean_avg_energy_calc_time_per_call
5,2,1,1,50,256,0.5,0.5,0,2.57832887499535,-0.026346180795457988,,,,1,1,[-0.026346180795457988],31.0,0.0002139354844750356,0.02369069225847676,0.0007445738714699062,0.0003301128726302376
5,2,1,1,50,256,0.5,0.5,1,2.2108572919969447,-0.1229202031876585,,,,1,1,[-0.1229202031876585],35.0,0.0002386511436530522,0.024483976226682507,0.000836508344010716,0.00035631317046603986
5,2,1,1,50,256,0.5,0.5,2,2.235961625003256,-0.1093269812673061,,,,1,1,[-0.1093269812673061],33.0,0.00022794948370464033,0.02672334600091827,0.0008001389095707881,0.0003261010292176665
5,2,1,1,50,256,0.5,0.5,3,2.2109859170013806,0.03793898569547896,,,,1,1,[0.03793898569547896],32.0,0.0002601966248221288,0.027883071591986663,0.0007940663754197885,0.0003447903745836811
8,3,1,1,50,256,0.5,0.5,0,2.2553981660021236,-0.7903664431833503,,,,1,1,[-0.7903664431833503],29.0,0.0004087557242420534,0.0252936062762305,0.0015729972405222662,0.0033202973793557814
8,3,1,1,50,256,0.5,0.5,1,2.1460542919958243,-0.6140140966393524,,,,1,1,[-0.6140140966393524],31.0,0.00037960748229506273,0.024065716420262753,0.001440676097709295,0.003190723224355268
8,3,1,1,50,256,0.5,0.5,2,2.140819250009372,-0.5681942214236726,,,,1,1,[-0.5681942214236726],30.0,0.0003800319017803607,0.025415602832799776,0.0012246554673765787,0.0037740251015444906
8,3,1,1,50,256,0.5,0.5,3,2.1483694589987863,-0.720137580686159,,,,1,1,[-0.720137580686159],28.0,0.00037094185816905726,0.026938833357624908,0.001368938963423716,0.003823889820653546
10,4,1,1,50,256,0.5,0.5,0,2.1018880839983467,-0.49791900259085453,,,,1,1,[-0.49791900259085453],25.0,0.0005304516002070159,0.024034939959528857,0.00255672344181221,0.007777298320434056
10,4,1,1,50,256,0.5,0.5,1,2.4642399579897756,-0.26907019070209043,,,,1,1,[-0.26907019070209043],34.0,0.0005096263536389041,0.024486161675132977,0.0025565943531760506,0.0079713822064257
10,4,1,1,50,256,0.5,0.5,2,2.1459142499952577,-0.45246712136250167,,,,1,1,[-0.45246712136250167],25.0,0.0005172799981664866,0.026203020040993577,0.0022834416799014435,0.007831231640302576
10,4,1,1,50,256,0.5,0.5,3,2.4064103749988135,-0.5574055529988566,,,,1,1,[-0.5574055529988566],30.0,0.0005138666999603932,0.02886698749983528,0.0023407860988906275,0.007398216667449257
15,6,1,1,50,256,0.5,0.5,0,2.807268707998446,-1.4055489511949055,,,,1,1,[-1.4055489511949055],27.0,0.0009959799256951858,0.024263929036182904,0.012538475260953419,0.020197183703809667
15,6,1,1,50,256,0.5,0.5,1,3.1815357500017853,-1.54601076973796,,,,1,1,[-1.54601076973796],33.0,0.001006167998473922,0.02463050245547272,0.013317186938365921,0.019940181635761153
15,6,1,1,50,256,0.5,0.5,2,2.9363586669933284,-0.995638756949143,,,,1,1,[-0.995638756949143],30.0,0.0010191221323718007,0.02708807646704372,0.007381066665887678,0.020535586167049282
15,6,1,1,50,256,0.5,0.5,3,2.90369787500822,-1.5696716379421094,,,,1,1,[-1.5696716379421094],26.0,0.0010095737278998757,0.03164938619290926,0.01195145992376358,0.019497509538128864
20,8,1,1,50,256,0.5,0.5,0,11.650725542000146,-3.11637462502395,,,,1,1,[-3.11637462502395],25.0,0.0017128300393233077,0.024691093359142543,0.3565025916392915,0.034414869880420154
20,8,1,1,50,256,0.5,0.5,1,14.288638291996904,-3.199131584231399,,,,1,1,[-3.199131584231399],31.0,0.0016794905480515632,0.0254419005472183,0.35888961828999116,0.03472168932128097
20,8,1,1,50,256,0.5,0.5,2,12.60298291700019,-3.1244967160741055,,,,1,1,[-3.1244967160741055],27.0,0.001739413555629586,0.028718859518886784,0.3560282684818419,0.03456530696281267
20,8,1,1,50,256,0.5,0.5,3,8.636981250005192,-2.5652830237493065,,,,1,1,[-2.5652830237493065],31.0,0.001677243354459924,0.0324242339387814,0.16748097829094472,0.03554971506415431
22,8,1,1,50,256,0.5,0.5,0,44.704653875000076,-1.752545024115982,,,,1,1,[-1.752545024115982],29.0,0.002055604826731222,0.024774351998248362,1.430291665276384,0.04205195844757515
22,8,1,1,50,256,0.5,0.5,1,47.51322608400369,-1.852071784246933,,,,1,1,[-1.852071784246933],31.0,0.0020690121619413877,0.02590037238663964,1.4215092728381054,0.042955274128490276
22,8,1,1,50,256,0.5,0.5,2,32.34421158299665,-1.542966514826595,,,,1,1,[-1.542966514826595],29.0,0.0020873003111397527,0.029148729932534603,0.9978644541717648,0.04349417951819085
22,8,1,1,50,256,0.5,0.5,3,26.102933833011775,-1.3402686875218772,,,,1,1,[-1.3402686875218772],24.0,0.0019889330439542864,0.03611385139115357,0.9939979439558279,0.043651438392850614
25,10,1,1,50,256,0.5,0.5,0,396.5315387919982,-1.2732303283199078,,,,1,1,[-1.2732303283199078],31.0,0.003083674644585699,0.030017810453089974,12.652932784935054,0.06409424196716564
25,10,1,1,50,256,0.5,0.5,1,324.60994233399106,-1.4972005301186029,,,,1,1,[-1.4972005301186029],27.0,0.002454797889287066,0.02569757870353189,11.877411840961603,0.05268030703613207
25,10,1,1,50,256,0.5,0.5,2,327.40758366699447,-1.7378490694427526,,,,1,1,[-1.7378490694427526],27.0,0.002454060185334162,0.03062827463037576,11.976095678927205,0.052594990738456276
25,10,1,1,50,256,0.5,0.5,3,340.8289158330008,-1.6447499771753629,,,,1,1,[-1.6447499771753629],28.0,0.002452168179713356,0.04308003561007873,12.010851081857254,0.05425776932159871
5,2,1,3,50,256,0.5,0.5,0,2.8223568750108825,-0.23778659538550126,,,,3,3,"[0.1132273044313848, -0.23778659538550126, -0.03279977719629924]",31.0,0.00022718890480203095,0.0219479170649941,0.0010468687902779803,0.0003215492633999706
5,2,1,3,50,256,0.5,0.5,1,2.2815642500063404,-0.2413183712462248,,,,3,3,"[-0.09416781935756999, -0.20101093166191797, -0.2413183712462248]",29.666666666666668,0.00022735466431356318,0.023867400584723596,0.0010298324286088757,0.00032988603421451457
5,2,1,3,50,256,0.5,0.5,2,2.347193125009653,-0.055217496810996164,,,,3,3,"[-0.004996397505586574, 0.07816506363452413, -0.055217496810996164]",30.0,0.00024042435518659217,0.025301600686618308,0.0008768998755164294,0.0003371902461810513
5,2,1,3,50,256,0.5,0.5,3,2.365934957997524,-0.20242628294229859,,,,3,3,"[-0.09882378081614865, -0.20242628294229859, -0.042695708801821435]",31.0,0.0002538466260186501,0.02610095085576281,0.0009551285483192709,0.00034688772082641845
8,3,1,3,50,256,0.5,0.5,0,2.414536958007375,-0.8189103053785407,,,,3,3,"[-0.6049655324215629, -0.7241940069301258, -0.8189103053785407]",29.666666666666668,0.0004122381770832648,0.023429106824677238,0.001798886599679885,0.0037506104649113387
8,3,1,3,50,256,0.5,0.5,1,2.4913213750114664,-0.8853283204726388,,,,3,3,"[-0.7906959263749807, -0.8853283204726388, -0.748940280134509]",30.666666666666668,0.0004182476146168201,0.02436181284062346,0.0016174332262601538,0.0037987791472839025
8,3,1,3,50,256,0.5,0.5,2,2.431437042003381,-0.809393270010844,,,,3,3,"[-0.7700784397918814, -0.6318741031703468, -0.809393270010844]",28.666666666666668,0.00041152160078919946,0.025218581886609828,0.0015089682715424557,0.003846509049101295
8,3,1,3,50,256,0.5,0.5,3,2.6356305419903947,-0.7843052363200468,,,,3,3,"[-0.7843052363200468, -0.7785222189176392, -0.7458933711048988]",30.0,0.0003930430900288263,0.026800067676869033,0.0016344188641843726,0.003281171809237689
10,4,1,3,50,256,0.5,0.5,0,2.7205592499958584,-0.6566352719354948,,,,3,3,"[-0.375569907932086, -0.6566352719354948, -0.10864119492170524]",30.666666666666668,0.0005285894393462406,0.023234219374705264,0.0028697161221771985,0.007826497343418816
10,4,1,3,50,256,0.5,0.5,1,2.680502624993096,-0.7247871282616781,,,,3,3,"[-0.7247871282616781, -0.08962913616068054, -0.48961173036867894]",29.666666666666668,0.0005256878755647356,0.024897063983549794,0.0026178962960564296,0.007718728644631325
10,4,1,3,50,256,0.5,0.5,2,2.6538867500057677,-0.6564703892586494,,,,3,3,"[-0.28640140624169597, -0.4987760273035962, -0.6564703892586494]",28.333333333333332,0.0005328672783364027,0.026292187262559885,0.0026464363270623284,0.007483301868528316
10,4,1,3,50,256,0.5,0.5,3,2.689250416995492,-0.5911150061411172,,,,3,3,"[-0.33354683049609274, -0.5911150061411172, -0.47257269815065883]",27.333333333333332,0.0005332418251811543,0.02796384463179428,0.0027337144500308463,0.007541219773688602
15,6,1,3,50,256,0.5,0.5,0,3.71637195898802,-1.4680086707323783,,,,3,3,"[-1.4160036617418275, -1.3587151202032584, -1.4680086707323783]",28.333333333333332,0.0010509447230945695,0.024044386428659716,0.02474573070671791,0.020125383608423846
15,6,1,3,50,256,0.5,0.5,1,4.28540479199728,-1.518231206341386,,,,3,3,"[-1.2821342212741036, -1.492660521427168, -1.518231206341386]",29.666666666666668,0.0010275141921923861,0.02434278471137243,0.03906859994315264,0.019864882227589583
15,6,1,3,50,256,0.5,0.5,2,3.92077033300302,-1.8473098029969384,,,,3,3,"[-1.8473098029969384, -1.2186091508564316, -1.331461295334544]",26.333333333333332,0.001020630020437158,0.02727115481214844,0.04127788334707631,0.02004033203702633
15,6,1,3,50,256,0.5,0.5,3,4.2586313750070985,-1.7224295748038563,,,,3,3,"[-1.5641556258570126, -1.5842931168042385, -1.7224295748038563]",29.333333333333332,0.0010194592536006692,0.030927948014187485,0.04089611339871818,0.019907097907430612
20,8,1,3,50,256,0.5,0.5,0,34.510870375001105,-3.005325002171823,,,,3,3,"[-2.599026477983305, -2.955166397881582, -3.005325002171823]",29.0,0.0020640821951442394,0.027958987620321677,1.0448154399346972,0.03929508652824506
20,8,1,3,50,256,0.5,0.5,1,34.07423920801375,-3.0121261587855663,,,,3,3,"[-2.6982146824296627, -2.960072543070749, -3.0121261587855663]",27.666666666666668,0.00203173036402993,0.030072988967837052,1.061538516967633,0.04052272013958861
20,8,1,3,50,256,0.5,0.5,2,31.79836712499673,-3.178303978669254,,,,3,3,"[-2.998143799957053, -3.178303978669254, -3.003972327098022]",27.0,0.0019635572146791147,0.033726882038807686,1.0034667462018743,0.04053705609982976
20,8,1,3,50,256,0.5,0.5,3,35.2315639169974,-4.5020198068086135,,,,3,3,"[-3.091695082451212, -4.5020198068086135, -2.9646152620236177]",30.333333333333332,0.0019272444319697445,0.04112660786416558,0.9894863446121237,0.03988709080286124
22,8,1,3,50,256,0.5,0.5,0,98.36584683299589,-1.8393583973980026,,,,3,3,"[-1.8393583973980026, -1.6288733546458476, -1.7692366701731101]",27.666666666666668,0.0029111257251817515,0.038619995723275465,3.2378585690470856,0.05661539210527783
22,8,1,3,50,256,0.5,0.5,1,107.37712783399911,-2.0246286187943325,,,,3,3,"[-1.947050890403513, -1.7031193172489156, -2.0246286187943325]",30.0,0.002678857097384219,0.03844771383407473,3.260330638634136,0.055188600446499654
22,8,1,3,50,256,0.5,0.5,2,94.9727788750024,-2.0060875512630405,,,,3,3,"[-1.5962679783851212, -1.730801714965573, -2.0060875512630405]",27.333333333333332,0.002823551770050396,0.0448823477645233,3.1510856632347166,0.05357256613936288
