N,K,p,lambda_sum,max_evals_per_run,num_parallel_runs,repetition,total_wall_time_s,best_energy,best_ar,most_probable_bitstring,selected_assets_count,constraint_satisfied
4,1,1,100,1,1,0,2.0253015409980435,-1000.2630227600641,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,1,100,1,2,0,1.5315510000000359,-1000.2828827357291,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,1,100,1,3,0,1.6645170000047074,-1000.2050744808847,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,1,100,1,4,0,1.801764167001238,-1000.1717901986673,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,1,100,2,1,0,1.4260770420005429,-1000.2850345380938,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,1,100,2,2,0,1.5685646250058198,-1000.2057831532898,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,1,100,2,3,0,1.7586128330003703,-1000.1706065090782,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,1,100,2,4,0,1.8402726669955882,-1000.2260518988775,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,1,100,3,1,0,1.398295250000956,-1000.2068930660676,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,1,100,3,2,0,1.5405459169996902,-1000.17160907197,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,1,100,3,3,0,1.6425657080035307,-1000.2222157262777,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,1,100,3,4,0,1.7246796670006006,-1000.2040190052176,N/A (Brute-force not feasible or not computed),0010,1,True
4,1,4,100,1,1,0,1.3666807920017163,-1000.1394789990738,N/A (Brute-force not feasible or not computed),0100,1,True
4,1,4,100,1,2,0,1.5114741659999709,-1000.244745482682,N/A (Brute-force not feasible or not computed),1000,1,True
4,1,4,100,1,3,0,1.6311469590000343,-1000.1967955936913,N/A (Brute-force not feasible or not computed),0001,1,True
4,1,4,100,1,4,0,1.7232984579968615,-1000.1918615626209,N/A (Brute-force not feasible or not computed),0100,1,True
4,1,4,100,2,1,0,1.355956375002279,-1000.2430111756033,N/A (Brute-force not feasible or not computed),1000,1,True
4,1,4,100,2,2,0,1.5162401670022518,-1000.2051755734587,N/A (Brute-force not feasible or not computed),0100,1,True
4,1,4,100,2,3,0,1.634648166000261,-1000.1931544310938,N/A (Brute-force not feasible or not computed),0100,1,True
4,1,4,100,2,4,0,1.730549499996414,-1000.2028738122351,N/A (Brute-force not feasible or not computed),1000,1,True
4,1,4,100,3,1,0,1.3981130419997498,-1000.2014485179415,N/A (Brute-force not feasible or not computed),0100,1,True
